      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.777      199     N    0    1    0
    0:01.602      410     N    0    1    0
    0:02.414      618     N    0    1    0
    0:03.234      828     N    0    1    0
    0:04.047     1036     N    0    1    0
    0:04.844     1240     N    0    1    0
    0:05.617     1438     N    0    1    0
    0:06.371     1631     N    0    1    0
    0:07.129     1825     N    0    1    0
    0:07.863     2013     N    0    1    0
    0:08.570     2194     N    0    1    0
    0:09.277     2375     N    0    1    0
    0:10.000     2560     N    0    1    0
    0:10.699     2739     N    0    1    0
    0:11.410     2921     N    0    1    0
    0:12.125     3104     N    0    1    0
    0:12.828     3284     N    0    1    0
    0:13.547     3468     N    0    1    0
    0:14.297     3660     N    0    1    0
    0:15.086     3862     N    0    1    0
    0:15.863     4061     N    0    1    0
    0:16.637     4259     N    0    1    0
    0:17.387     4451     N    0    1    0
    0:18.125     4640     N    0    1    0
    0:18.840     4823     N    0    1    0
    0:19.543     5003     N    0    1    0
    0:20.254     5185     N    0    1    0
    0:20.922     5356     N    0    1    0
    0:21.613     5533     N    0    1    0
    0:22.285     5705     N    0    1    0
    0:22.973     5881     N    0    1    0
    0:23.680     6062     N    0    1    0
    0:24.375     6240     N    0    1    0
    0:25.121     6431     N    0    1    0
    0:25.867     6622     N    0    1    0
    0:26.613     6813     N    0    1    0
    0:27.355     7003     N    0    1    0
    0:28.098     7193     N    0    1    0
    0:28.816     7377     N    0    1    0
    0:29.523     7558     N    0    1    0
    0:30.219     7736     N    0    1    0
    0:30.898     7910     N    0    1    0
    0:31.570     8082     N    0    1    0
    0:32.250     8256     N    0    1    0
    0:32.965     8439     N    0    1    0
    0:33.691     8625     N    0    1    0
    0:34.449     8819     N    0    1    0
    0:35.215     9015     N    0    1    0
    0:35.969     9208     N    0    1    0
    0:36.727     9402     N    0    1    0
    0:37.480     9595     N    0    1    0
    0:38.223     9785     N    0    1    0
    0:38.945     9970     N    0    1    0
    0:39.695    10162     N    0    1    0
    0:40.418    10347     N    0    1    0
    0:41.109    10524     N    0    1    0
    0:41.832    10709     N    0    1    0
    0:42.531    10888     N    0    1    0
    0:43.223    11065     N    0    1    0
    0:43.918    11243     N    0    1    0
    0:44.609    11420     N    0    1    0
    0:45.277    11591     N    0    1    0
    0:45.977    11770     N    0    1    0
    0:46.633    11938     N    0    1    0
    0:47.320    12114     N    0    1    0
    0:47.988    12285     N    0    1    0
    0:48.660    12457     N    0    1    0
    0:49.336    12630     N    0    1    0
    0:50.016    12804     N    0    1    0
    0:50.688    12976     N    0    1    0
    0:51.359    13148     N    0    1    0
    0:52.020    13317     N    0    1    0
    0:52.672    13484     N    0    1    0
    0:53.316    13649     N    0    1    0
    0:53.953    13812     N    0    1    0
    0:54.586    13974     N    0    1    0
    0:55.219    14136     N    0    1    0
    0:55.832    14293     N    0    1    0
    0:56.480    14459     N    0    1    0
    0:57.129    14625     N    0    1    0
    0:57.762    14787     N    0    1    0
    0:58.414    14954     N    0    1    0
    0:59.086    15126     N    0    1    0
    0:59.734    15292     N    0    1    0
    1:00.383    15458     N    0    1    0
    1:01.016    15620     N    0    1    0
    1:01.633    15778     N    0    1    0
    1:02.285    15945     N    0    1    0
    1:02.891    16100     N    0    1    0
    1:03.535    16265     N    0    1    0
    1:04.156    16424     N    0    1    0
    1:04.777    16583     N    0    1    0
    1:05.402    16743     N    0    1    0
    1:06.000    16896     N    0    1    0
    1:06.621    17055     N    0    1    0
    1:07.266    17220     N    0    1    0
    1:07.891    17380     N    0    1    0
    1:08.520    17541     N    0    1    0
    1:09.148    17702     N    0    1    0
    1:09.793    17867     N    0    1    0
    1:10.441    18033     N    0    1    0
    1:11.063    18192     N    0    1    0
    1:11.719    18360     N    0    1    0
    1:12.348    18521     N    0    1    0
    1:12.949    18675     N    0    1    0
    1:13.586    18838     N    0    1    0
    1:14.195    18994     N    0    1    0
    1:14.809    19151     N    0    1    0
    1:15.406    19304     N    0    1    0
    1:16.047    19468     N    0    1    0
    1:16.656    19624     N    0    1    0
    1:17.324    19795     N    0    1    0
    1:17.988    19965     N    0    1    0
    1:18.672    20140     N    0    1    0
    1:19.348    20313     N    0    1    0
    1:20.000    20480     N    0    1    0
    1:20.668    20651     N    0    1    0
    1:21.348    20825     N    0    1    0
    1:21.977    20986     N    0    1    0
    1:22.613    21149     N    0    1    0
    1:23.254    21313     N    0    1    0
    1:23.855    21467     N    0    1    0
    1:24.488    21629     N    0    1    0
    1:25.113    21789     N    0    1    0
    1:25.734    21948     N    0    1    0
    1:26.375    22112     N    0    1    0
    1:27.047    22284     N    0    1    0
    1:27.684    22447     N    0    1    0
    1:28.359    22620     N    0    1    0
    1:29.000    22784     N    0    1    0
    1:29.660    22953     N    0    1    0
    1:30.316    23121     N    0    1    0
    1:30.961    23286     N    0    1    0
    1:31.617    23454     N    0    1    0
    1:32.246    23615     N    0    1    0
    1:32.859    23772     N    0    1    0
    1:33.496    23935     N    0    1    0
    1:34.090    24087     N    0    1    0
    1:34.711    24246     N    0    1    0
    1:35.359    24412     N    0    1    0
    1:35.965    24567     N    0    1    0
    1:36.594    24728     N    0    1    0
    1:37.230    24891     N    0    1    0
    1:37.887    25059     N    0    1    0
    1:38.508    25218     N    0    1    0
