      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.543      139     N    0    1    0
    0:01.227      314     N    0    1    0
    0:01.934      495     N    0    1    0
    0:02.211      566     N    0    1    0
    0:02.629      673     N    0    1    0
    0:03.336      854     N    0    1    0
    0:03.996     1023     N    0    1    0
    0:04.668     1195     N    0    1    0
    0:05.336     1366     N    0    1    0
    0:06.008     1538     N    0    1    0
    0:06.691     1713     N    0    1    0
    0:07.383     1890     N    0    1    0
    0:08.098     2073     N    0    1    0
    0:08.781     2248     N    0    1    0
    0:09.508     2434     N    0    1    0
    0:10.250     2624     N    0    1    0
    0:10.961     2806     N    0    1    0
    0:11.703     2996     N    0    1    0
    0:12.438     3184     N    0    1    0
    0:13.125     3360     N    0    1    0
    0:13.871     3551     N    0    1    0
    0:14.598     3737     N    0    1    0
    0:15.332     3925     N    0    1    0
    0:16.066     4113     N    0    1    0
    0:16.789     4298     N    0    1    0
    0:17.535     4489     N    0    1    0
    0:18.285     4681     N    0    1    0
    0:19.047     4876     N    0    1    0
    0:19.809     5071     N    0    1    0
    0:20.563     5264     N    0    1    0
    0:21.301     5453     N    0    1    0
    0:22.051     5645     N    0    1    0
    0:22.797     5836     N    0    1    0
    0:23.508     6018     N    0    1    0
    0:24.238     6205     N    0    1    0
    0:24.965     6391     N    0    1    0
    0:25.688     6576     N    0    1    0
    0:26.391     6756     N    0    1    0
    0:27.113     6941     N    0    1    0
    0:27.867     7134     N    0    1    0
    0:28.578     7316     N    0    1    0
    0:29.316     7505     N    0    1    0
    0:30.063     7696     N    0    1    0
    0:30.805     7886     N    0    1    0
    0:31.508     8066     N    0    1    0
    0:32.230     8251     N    0    1    0
    0:32.941     8433     N    0    1    0
    0:33.633     8610     N    0    1    0
    0:34.328     8788     N    0    1    0
    0:35.023     8966     N    0    1    0
    0:35.695     9138     N    0    1    0
    0:36.383     9314     N    0    1    0
    0:37.047     9484     N    0    1    0
    0:37.695     9650     N    0    1    0
    0:38.375     9824     N    0    1    0
    0:39.082    10005     N    0    1    0
    0:39.789    10186     N    0    1    0
    0:40.477    10362     N    0    1    0
    0:41.184    10543     N    0    1    0
    0:41.789    10698     N    0    1    0
    0:42.609    10908     N    0    1    0
    0:43.336    11094     N    0    1    0
    0:44.055    11278     N    0    1    0
    0:44.762    11459     N    0    1    0
    0:45.496    11647     N    0    1    0
    0:46.223    11833     N    0    1    0
    0:46.934    12015     N    0    1    0
    0:47.668    12203     N    0    1    0
    0:48.387    12387     N    0    1    0
    0:49.090    12567     N    0    1    0
    0:49.836    12758     N    0    1    0
    0:50.574    12947     N    0    1    0
    0:51.285    13129     N    0    1    0
    0:52.023    13318     N    0    1    0
    0:52.762    13507     N    0    1    0
    0:53.461    13686     N    0    1    0
    0:54.203    13876     N    0    1    0
    0:54.914    14058     N    0    1    0
    0:55.629    14241     N    0    1    0
    0:56.352    14426     N    0    1    0
    0:57.074    14611     N    0    1    0
    0:57.766    14788     N    0    1    0
    0:58.426    14957     N    0    1    0
    0:59.129    15137     N    0    1    0
    0:59.859    15324     N    0    1    0
    1:00.563    15504     N    0    1    0
    1:01.297    15692     N    0    1    0
    1:02.039    15882     N    0    1    0
    1:02.758    16066     N    0    1    0
    1:03.461    16246     N    0    1    0
    1:04.211    16438     N    0    1    0
    1:04.945    16626     N    0    1    0
    1:05.707    16821     N    0    1    0
    1:06.375    16992     N    0    1    0
    1:07.250    17216     N    0    1    0
    1:07.965    17399     N    0    1    0
    1:08.695    17586     N    0    1    0
    1:09.414    17770     N    0    1    0
    1:10.102    17946     N    0    1    0
    1:10.789    18122     N    0    1    0
    1:11.508    18306     N    0    1    0
    1:12.223    18489     N    0    1    0
    1:12.914    18666     N    0    1    0
    1:13.633    18850     N    0    1    0
    1:14.223    19001     N    0    1    0
    1:15.035    19209     N    0    1    0
    1:15.781    19400     N    0    1    0
    1:16.508    19586     N    0    1    0
    1:17.215    19767     N    0    1    0
    1:17.957    19957     N    0    1    0
    1:18.703    20148     N    0    1    0
    1:19.438    20336     N    0    1    0
    1:20.141    20516     N    0    1    0
    1:20.852    20698     N    0    1    0
    1:21.520    20869     N    0    1    0
    1:22.266    21060     N    0    1    0
    1:22.961    21238     N    0    1    0
    1:23.684    21423     N    0    1    0
    1:24.391    21604     N    0    1    0
    1:25.125    21792     N    0    1    0
    1:25.852    21978     N    0    1    0
    1:26.621    22175     N    0    1    0
    1:27.387    22371     N    0    1    0
    1:28.148    22566     N    0    1    0
    1:28.898    22758     N    0    1    0
    1:29.605    22939     N    0    1    0
    1:30.293    23115     N    0    1    0
    1:30.980    23291     N    0    1    0
    1:31.672    23468     N    0    1    0
    1:32.375    23648     N    0    1    0
    1:33.090    23831     N    0    1    0
    1:33.809    24015     N    0    1    0
    1:34.551    24205     N    0    1    0
    1:35.301    24397     N    0    1    0
    1:36.047    24588     N    0    1    0
    1:36.742    24766     N    0    1    0
    1:37.188    24880     N    0    1    0
    1:37.855    25051     N    0    1    0
    1:38.434    25199     N    0    1    0
    1:39.234    25404     N    0    1    0
    1:39.992    25598     N    0    1    0
    1:40.770    25797     N    0    1    0
    1:41.559    25999     N    0    1    0
    1:42.336    26198     N    0    1    0
    1:43.113    26397     N    0    1    0
