      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.074       19     N    0    1    0
    0:00.723      185     N    0    1    0
    0:01.371      351     N    0    1    0
    0:02.023      518     N    0    1    0
    0:02.695      690     N    0    1    0
    0:03.344      856     N    0    1    0
    0:03.992     1022     N    0    1    0
    0:04.637     1187     N    0    1    0
    0:05.234     1340     N    0    1    0
    0:05.867     1502     N    0    1    0
    0:06.512     1667     N    0    1    0
    0:07.148     1830     N    0    1    0
    0:07.797     1996     N    0    1    0
    0:08.402     2151     N    0    1    0
    0:09.031     2312     N    0    1    0
    0:09.672     2476     N    0    1    0
    0:10.285     2633     N    0    1    0
    0:10.922     2796     N    0    1    0
    0:11.555     2958     N    0    1    0
    0:12.199     3123     N    0    1    0
    0:12.828     3284     N    0    1    0
    0:13.449     3443     N    0    1    0
    0:14.082     3605     N    0    1    0
    0:14.707     3765     N    0    1    0
    0:15.320     3922     N    0    1    0
    0:15.938     4080     N    0    1    0
    0:16.539     4234     N    0    1    0
    0:17.141     4388     N    0    1    0
    0:17.707     4533     N    0    1    0
    0:18.297     4684     N    0    1    0
    0:18.891     4836     N    0    1    0
    0:19.484     4988     N    0    1    0
    0:20.082     5141     N    0    1    0
    0:20.676     5293     N    0    1    0
    0:21.281     5448     N    0    1    0
    0:21.883     5602     N    0    1    0
    0:22.473     5753     N    0    1    0
    0:23.172     5932     N    0    1    0
    0:23.641     6052     N    0    1    0
    0:24.215     6199     N    0    1    0
    0:24.781     6344     N    0    1    0
    0:25.359     6492     N    0    1    0
    0:25.918     6635     N    0    1    0
    0:26.441     6769     N    0    1    0
    0:26.984     6908     N    0    1    0
    0:27.523     7046     N    0    1    0
    0:28.055     7182     N    0    1    0
    0:28.578     7316     N    0    1    0
    0:29.105     7451     N    0    1    0
    0:29.617     7582     N    0    1    0
    0:30.148     7718     N    0    1    0
    0:30.684     7855     N    0    1    0
    0:31.172     7980     N    0    1    0
    0:31.797     8140     N    0    1    0
    0:32.371     8287     N    0    1    0
    0:32.930     8430     N    0    1    0
    0:33.512     8579     N    0    1    0
    0:34.063     8720     N    0    1    0
    0:34.621     8863     N    0    1    0
    0:35.184     9007     N    0    1    0
    0:35.738     9149     N    0    1    0
    0:36.285     9289     N    0    1    0
    0:36.832     9429     N    0    1    0
    0:37.371     9567     N    0    1    0
    0:37.898     9702     N    0    1    0
    0:38.434     9839     N    0    1    0
    0:38.961     9974     N    0    1    0
    0:39.496    10111     N    0    1    0
    0:40.035    10249     N    0    1    0
    0:40.566    10385     N    0    1    0
    0:41.105    10523     N    0    1    0
    0:41.633    10658     N    0    1    0
    0:42.188    10800     N    0    1    0
    0:42.742    10942     N    0    1    0
    0:43.301    11085     N    0    1    0
    0:43.852    11226     N    0    1    0
    0:44.391    11364     N    0    1    0
    0:44.941    11505     N    0    1    0
    0:45.488    11645     N    0    1    0
    0:46.043    11787     N    0    1    0
    0:46.598    11929     N    0    1    0
    0:47.160    12073     N    0    1    0
    0:47.707    12213     N    0    1    0
    0:48.266    12356     N    0    1    0
    0:48.816    12497     N    0    1    0
    0:49.375    12640     N    0    1    0
    0:49.918    12779     N    0    1    0
    0:50.469    12920     N    0    1    0
    0:51.012    13059     N    0    1    0
    0:51.566    13201     N    0    1    0
    0:52.129    13345     N    0    1    0
    0:52.711    13494     N    0    1    0
    0:53.262    13635     N    0    1    0
    0:53.855    13787     N    0    1    0
    0:54.438    13936     N    0    1    0
    0:55.023    14086     N    0    1    0
    0:55.613    14237     N    0    1    0
    0:56.180    14382     N    0    1    0
    0:56.727    14522     N    0    1    0
    0:57.281    14664     N    0    1    0
    0:57.828    14804     N    0    1    0
    0:58.371    14943     N    0    1    0
    0:58.926    15085     N    0    1    0
    0:59.465    15223     N    0    1    0
    1:00.004    15361     N    0    1    0
    1:00.531    15496     N    0    1    0
    1:01.066    15633     N    0    1    0
    1:01.602    15770     N    0    1    0
    1:02.145    15909     N    0    1    0
    1:02.691    16049     N    0    1    0
    1:03.242    16190     N    0    1    0
    1:03.781    16328     N    0    1    0
    1:04.320    16466     N    0    1    0
    1:04.871    16607     N    0    1    0
    1:05.430    16750     N    0    1    0
    1:05.980    16891     N    0    1    0
    1:06.543    17035     N    0    1    0
    1:07.090    17175     N    0    1    0
    1:07.656    17320     N    0    1    0
    1:08.223    17465     N    0    1    0
    1:08.777    17607     N    0    1    0
    1:09.328    17748     N    0    1    0
    1:09.879    17889     N    0    1    0
    1:10.426    18029     N    0    1    0
    1:10.961    18166     N    0    1    0
    1:11.504    18305     N    0    1    0
    1:12.039    18442     N    0    1    0
    1:12.574    18579     N    0    1    0
    1:13.105    18715     N    0    1    0
    1:13.637    18851     N    0    1    0
    1:14.176    18989     N    0    1    0
    1:14.695    19122     N    0    1    0
    1:15.234    19260     N    0    1    0
    1:15.770    19397     N    0    1    0
    1:16.293    19531     N    0    1    0
    1:16.813    19664     N    0    1    0
    1:17.355    19803     N    0    1    0
    1:17.883    19938     N    0    1    0
    1:18.406    20072     N    0    1    0
    1:18.926    20205     N    0    1    0
    1:19.461    20342     N    0    1    0
    1:19.996    20479     N    0    1    0
    1:20.516    20612     N    0    1    0
    1:21.047    20748     N    0    1    0
    1:21.563    20880     N    0    1    0
