      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.648      166     N    0    1    0
    0:01.465      375     N    0    1    0
    0:02.332      597     N    0    1    0
    0:03.180      814     N    0    1    0
    0:04.012     1027     N    0    1    0
    0:04.793     1227     N    0    1    0
    0:05.609     1436     N    0    1    0
    0:06.430     1646     N    0    1    0
    0:07.383     1890     N    0    1    0
    0:08.039     2058     N    0    1    0
    0:08.613     2205     N    0    1    0
    0:09.547     2444     N    0    1    0
    0:10.301     2637     N    0    1    0
    0:11.059     2831     N    0    1    0
    0:11.813     3024     N    0    1    0
    0:12.594     3224     N    0    1    0
    0:13.328     3412     N    0    1    0
    0:14.074     3603     N    0    1    0
    0:14.539     3722     N    0    1    0
    0:14.879     3809     N    0    1    0
    0:15.535     3977     N    0    1    0
    0:16.203     4148     N    0    1    0
    0:16.871     4319     N    0    1    0
    0:17.551     4493     N    0    1    0
    0:18.215     4663     N    0    1    0
    0:18.871     4831     N    0    1    0
    0:19.543     5003     N    0    1    0
    0:20.148     5158     N    0    1    0
    0:20.863     5341     N    0    1    0
    0:21.516     5508     N    0    1    0
    0:22.176     5677     N    0    1    0
    0:22.852     5850     N    0    1    0
    0:23.359     5980     N    0    1    0
    0:24.184     6191     N    0    1    0
    0:25.000     6400     N    0    1    0
    0:25.973     6649     N    0    1    0
    0:26.680     6830     N    0    1    0
    0:27.297     6988     N    0    1    0
    0:27.746     7103     N    0    1    0
    0:28.375     7264     N    0    1    0
    0:29.059     7439     N    0    1    0
    0:29.711     7606     N    0    1    0
    0:30.375     7776     N    0    1    0
    0:31.031     7944     N    0    1    0
    0:31.703     8116     N    0    1    0
    0:32.301     8269     N    0    1    0
    0:33.031     8456     N    0    1    0
    0:33.727     8634     N    0    1    0
    0:34.469     8824     N    0    1    0
    0:35.254     9025     N    0    1    0
    0:35.965     9207     N    0    1    0
    0:36.703     9396     N    0    1    0
    0:37.477     9594     N    0    1    0
    0:38.160     9769     N    0    1    0
    0:38.801     9933     N    0    1    0
    0:39.309    10063     N    0    1    0
    0:39.766    10180     N    0    1    0
    0:40.129    10273     N    0    1    0
    0:40.746    10431     N    0    1    0
    0:41.336    10582     N    0    1    0
    0:41.922    10732     N    0    1    0
    0:42.871    10975     N    0    1    0
    0:43.344    11096     N    0    1    0
    0:43.906    11240     N    0    1    0
    0:44.539    11402     N    0    1    0
    0:45.184    11567     N    0    1    0
    0:45.504    11649     N    0    1    0
    0:45.906    11752     N    0    1    0
    0:46.180    11822     N    0    1    0
    0:46.535    11913     N    0    1    0
    0:47.000    12032     N    0    1    0
    0:47.512    12163     N    0    1    0
    0:48.391    12388     N    0    1    0
    0:49.199    12595     N    0    1    0
    0:49.852    12762     N    0    1    0
    0:50.500    12928     N    0    1    0
    0:51.234    13116     N    0    1    0
    0:51.852    13274     N    0    1    0
    0:52.715    13495     N    0    1    0
    0:53.789    13770     N    0    1    0
    0:54.426    13933     N    0    1    0
    0:55.066    14097     N    0    1    0
    0:56.313    14416     N    0    1    0
    0:56.938    14576     N    0    1    0
    0:57.563    14736     N    0    1    0
    0:58.203    14900     N    0    1    0
    0:58.844    15064     N    0    1    0
    0:59.477    15226     N    0    1    0
    0:59.848    15321     N    0    1    0
    1:00.406    15464     N    0    1    0
    1:00.855    15579     N    0    1    0
    1:01.371    15711     N    0    1    0
    1:02.121    15903     N    0    1    0
    1:02.781    16072     N    0    1    0
    1:03.441    16241     N    0    1    0
    1:04.090    16407     N    0    1    0
    1:04.734    16572     N    0    1    0
    1:05.375    16736     N    0    1    0
    1:06.023    16902     N    0    1    0
    1:06.691    17073     N    0    1    0
    1:07.344    17240     N    0    1    0
    1:07.984    17404     N    0    1    0
    1:08.660    17577     N    0    1    0
    1:09.344    17752     N    0    1    0
    1:10.008    17922     N    0    1    0
    1:10.668    18091     N    0    1    0
    1:11.703    18356     N    0    1    0
    1:12.320    18514     N    0    1    0
    1:12.832    18645     N    0    1    0
    1:13.922    18924     N    0    1    0
    1:14.566    19089     N    0    1    0
    1:15.203    19252     N    0    1    0
    1:15.844    19416     N    0    1    0
    1:16.500    19584     N    0    1    0
    1:17.180    19758     N    0    1    0
    1:17.852    19930     N    0    1    0
    1:18.500    20096     N    0    1    0
    1:19.176    20269     N    0    1    0
    1:19.621    20383     N    0    1    0
    1:20.504    20609     N    0    1    0
    1:21.168    20779     N    0    1    0
    1:21.805    20942     N    0    1    0
    1:22.430    21102     N    0    1    0
    1:23.059    21263     N    0    1    0
    1:23.707    21429     N    0    1    0
    1:24.336    21590     N    0    1    0
    1:24.980    21755     N    0    1    0
    1:25.621    21919     N    0    1    0
    1:26.258    22082     N    0    1    0
    1:26.934    22255     N    0    1    0
    1:27.609    22428     N    0    1    0
    1:28.289    22602     N    0    1    0
    1:28.996    22783     N    0    1    0
    1:29.688    22960     N    0    1    0
    1:30.367    23134     N    0    1    0
    1:31.070    23314     N    0    1    0
    1:31.746    23487     N    0    1    0
    1:32.289    23626     N    0    1    0
    1:33.098    23833     N    0    1    0
    1:33.773    24006     N    0    1    0
    1:34.438    24176     N    0    1    0
    1:35.102    24346     N    0    1    0
    1:35.813    24528     N    0    1    0
    1:36.543    24715     N    0    1    0
    1:37.211    24886     N    0    1    0
