      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.574      147     N    0    1    0
    0:01.414      362     N    0    1    0
    0:02.254      577     N    0    1    0
    0:03.066      785     N    0    1    0
    0:03.883      994     N    0    1    0
    0:04.688     1200     N    0    1    0
    0:05.477     1402     N    0    1    0
    0:06.262     1603     N    0    1    0
    0:07.055     1806     N    0    1    0
    0:07.844     2008     N    0    1    0
    0:08.625     2208     N    0    1    0
    0:09.426     2413     N    0    1    0
    0:10.230     2619     N    0    1    0
    0:11.059     2831     N    0    1    0
    0:11.895     3045     N    0    1    0
    0:12.719     3256     N    0    1    0
    0:13.527     3463     N    0    1    0
    0:14.316     3665     N    0    1    0
    0:15.105     3867     N    0    1    0
    0:15.895     4069     N    0    1    0
    0:16.711     4278     N    0    1    0
    0:17.543     4491     N    0    1    0
    0:18.465     4727     N    0    1    0
    0:19.332     4949     N    0    1    0
    0:20.211     5174     N    0    1    0
    0:21.090     5399     N    0    1    0
    0:21.934     5615     N    0    1    0
    0:22.762     5827     N    0    1    0
    0:23.570     6034     N    0    1    0
    0:24.355     6235     N    0    1    0
    0:25.164     6442     N    0    1    0
    0:25.977     6650     N    0    1    0
    0:26.777     6855     N    0    1    0
    0:27.625     7072     N    0    1    0
    0:28.480     7291     N    0    1    0
    0:29.336     7510     N    0    1    0
    0:30.172     7724     N    0    1    0
    0:31.012     7939     N    0    1    0
    0:31.816     8145     N    0    1    0
    0:32.598     8345     N    0    1    0
    0:33.391     8548     N    0    1    0
    0:34.168     8747     N    0    1    0
    0:34.941     8945     N    0    1    0
    0:35.719     9144     N    0    1    0
    0:36.508     9346     N    0    1    0
    0:37.309     9551     N    0    1    0
    0:38.117     9758     N    0    1    0
    0:38.926     9965     N    0    1    0
    0:39.727    10170     N    0    1    0
    0:40.516    10372     N    0    1    0
    0:41.305    10574     N    0    1    0
    0:42.098    10777     N    0    1    0
    0:42.879    10977     N    0    1    0
    0:43.652    11175     N    0    1    0
    0:44.434    11375     N    0    1    0
    0:45.242    11582     N    0    1    0
    0:46.051    11789     N    0    1    0
    0:46.883    12002     N    0    1    0
    0:47.699    12211     N    0    1    0
    0:48.520    12421     N    0    1    0
    0:49.320    12626     N    0    1    0
    0:50.129    12833     N    0    1    0
    0:50.902    13031     N    0    1    0
    0:51.688    13232     N    0    1    0
    0:52.453    13428     N    0    1    0
    0:53.207    13621     N    0    1    0
    0:53.984    13820     N    0    1    0
    0:54.746    14015     N    0    1    0
    0:55.527    14215     N    0    1    0
    0:56.328    14420     N    0    1    0
    0:57.137    14627     N    0    1    0
    0:57.984    14844     N    0    1    0
    0:58.797    15052     N    0    1    0
    0:59.617    15262     N    0    1    0
    1:00.410    15465     N    0    1    0
    1:01.211    15670     N    0    1    0
    1:01.980    15867     N    0    1    0
    1:02.734    16060     N    0    1    0
    1:03.480    16251     N    0    1    0
    1:04.207    16437     N    0    1    0
    1:04.953    16628     N    0    1    0
    1:05.723    16825     N    0    1    0
    1:06.531    17032     N    0    1    0
    1:07.352    17242     N    0    1    0
    1:08.176    17453     N    0    1    0
    1:08.957    17653     N    0    1    0
    1:09.738    17853     N    0    1    0
    1:10.484    18044     N    0    1    0
    1:11.230    18235     N    0    1    0
    1:11.965    18423     N    0    1    0
    1:12.699    18611     N    0    1    0
    1:13.418    18795     N    0    1    0
    1:14.164    18986     N    0    1    0
    1:14.930    19182     N    0    1    0
    1:15.715    19383     N    0    1    0
    1:16.488    19581     N    0    1    0
    1:17.258    19778     N    0    1    0
    1:18.023    19974     N    0    1    0
    1:18.781    20168     N    0    1    0
    1:19.527    20359     N    0    1    0
    1:20.285    20553     N    0    1    0
    1:21.020    20741     N    0    1    0
    1:21.746    20927     N    0    1    0
    1:22.473    21113     N    0    1    0
    1:23.203    21300     N    0    1    0
    1:23.914    21482     N    0    1    0
    1:24.633    21666     N    0    1    0
    1:25.410    21865     N    0    1    0
    1:26.301    22093     N    0    1    0
    1:27.176    22317     N    0    1    0
    1:28.070    22546     N    0    1    0
    1:28.906    22760     N    0    1    0
    1:29.715    22967     N    0    1    0
    1:30.504    23169     N    0    1    0
    1:31.250    23360     N    0    1    0
    1:32.004    23553     N    0    1    0
    1:32.730    23739     N    0    1    0
    1:33.480    23931     N    0    1    0
    1:34.234    24124     N    0    1    0
    1:35.000    24320     N    0    1    0
    1:35.789    24522     N    0    1    0
    1:36.594    24728     N    0    1    0
    1:37.391    24932     N    0    1    0
    1:38.164    25130     N    0    1    0
    1:38.934    25327     N    0    1    0
    1:39.695    25522     N    0    1    0
    1:40.426    25709     N    0    1    0
    1:41.164    25898     N    0    1    0
    1:41.906    26088     N    0    1    0
    1:42.648    26278     N    0    1    0
    1:43.398    26470     N    0    1    0
    1:44.168    26667     N    0    1    0
    1:44.914    26858     N    0    1    0
    1:45.641    27044     N    0    1    0
    1:46.387    27235     N    0    1    0
    1:47.156    27432     N    0    1    0
    1:47.918    27627     N    0    1    0
    1:48.656    27816     N    0    1    0
    1:49.418    28011     N    0    1    0
    1:50.148    28198     N    0    1    0
    1:50.902    28391     N    0    1    0
    1:51.668    28587     N    0    1    0
    1:52.453    28788     N    0    1    0
    1:53.266    28996     N    0    1    0
    1:54.074    29203     N    0    1    0
