      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.266       68     N    0    1    0
    0:00.824      211     N    0    1    0
    0:01.395      357     N    0    1    0
    0:01.934      495     N    0    1    0
    0:02.484      636     N    0    1    0
    0:03.043      779     N    0    1    0
    0:03.574      915     N    0    1    0
    0:04.102     1050     N    0    1    0
    0:04.648     1190     N    0    1    0
    0:05.172     1324     N    0    1    0
    0:05.699     1459     N    0    1    0
    0:06.223     1593     N    0    1    0
    0:06.746     1727     N    0    1    0
    0:07.266     1860     N    0    1    0
    0:07.789     1994     N    0    1    0
    0:08.301     2125     N    0    1    0
    0:08.824     2259     N    0    1    0
    0:09.344     2392     N    0    1    0
    0:09.848     2521     N    0    1    0
    0:10.359     2652     N    0    1    0
    0:10.875     2784     N    0    1    0
    0:11.383     2914     N    0    1    0
    0:11.891     3044     N    0    1    0
    0:12.398     3174     N    0    1    0
    0:12.906     3304     N    0    1    0
    0:13.426     3437     N    0    1    0
    0:13.906     3560     N    0    1    0
    0:14.414     3690     N    0    1    0
    0:14.902     3815     N    0    1    0
    0:15.402     3943     N    0    1    0
    0:15.895     4069     N    0    1    0
    0:16.383     4194     N    0    1    0
    0:16.906     4328     N    0    1    0
    0:17.410     4457     N    0    1    0
    0:17.906     4584     N    0    1    0
    0:18.391     4708     N    0    1    0
    0:18.895     4837     N    0    1    0
    0:19.383     4962     N    0    1    0
    0:19.875     5088     N    0    1    0
    0:20.375     5216     N    0    1    0
    0:20.855     5339     N    0    1    0
    0:21.336     5462     N    0    1    0
    0:21.840     5591     N    0    1    0
    0:22.340     5719     N    0    1    0
    0:22.824     5843     N    0    1    0
    0:23.316     5969     N    0    1    0
    0:23.820     6098     N    0    1    0
    0:24.316     6225     N    0    1    0
    0:24.824     6355     N    0    1    0
    0:25.324     6483     N    0    1    0
    0:25.816     6609     N    0    1    0
    0:26.301     6733     N    0    1    0
    0:26.813     6864     N    0    1    0
    0:27.305     6990     N    0    1    0
    0:27.809     7119     N    0    1    0
    0:28.289     7242     N    0    1    0
    0:28.770     7365     N    0    1    0
    0:29.258     7490     N    0    1    0
    0:29.742     7614     N    0    1    0
    0:30.234     7740     N    0    1    0
    0:30.715     7863     N    0    1    0
    0:31.199     7987     N    0    1    0
    0:31.691     8113     N    0    1    0
    0:32.168     8235     N    0    1    0
    0:32.660     8361     N    0    1    0
    0:33.188     8496     N    0    1    0
    0:33.691     8625     N    0    1    0
    0:34.211     8758     N    0    1    0
    0:34.715     8887     N    0    1    0
    0:35.211     9014     N    0    1    0
    0:35.723     9145     N    0    1    0
    0:36.203     9268     N    0    1    0
    0:36.695     9394     N    0    1    0
    0:37.184     9519     N    0    1    0
    0:37.680     9646     N    0    1    0
    0:38.160     9769     N    0    1    0
    0:38.648     9894     N    0    1    0
    0:39.133    10018     N    0    1    0
    0:39.625    10144     N    0    1    0
    0:40.105    10267     N    0    1    0
    0:40.586    10390     N    0    1    0
    0:41.074    10515     N    0    1    0
    0:41.559    10639     N    0    1    0
    0:42.039    10762     N    0    1    0
    0:42.516    10884     N    0    1    0
    0:42.996    11007     N    0    1    0
    0:43.484    11132     N    0    1    0
    0:43.980    11259     N    0    1    0
    0:44.461    11382     N    0    1    0
    0:44.945    11506     N    0    1    0
    0:45.441    11633     N    0    1    0
    0:45.949    11763     N    0    1    0
    0:46.387    11875     N    0    1    0
    0:46.941    12017     N    0    1    0
    0:47.441    12145     N    0    1    0
    0:47.938    12272     N    0    1    0
    0:48.434    12399     N    0    1    0
    0:48.938    12528     N    0    1    0
    0:49.449    12659     N    0    1    0
    0:49.945    12786     N    0    1    0
    0:50.426    12909     N    0    1    0
    0:50.926    13037     N    0    1    0
    0:51.422    13164     N    0    1    0
    0:51.895    13285     N    0    1    0
    0:52.387    13411     N    0    1    0
    0:52.871    13535     N    0    1    0
    0:53.348    13657     N    0    1    0
    0:53.809    13775     N    0    1    0
    0:54.289    13898     N    0    1    0
    0:54.762    14019     N    0    1    0
    0:55.234    14140     N    0    1    0
    0:55.691    14257     N    0    1    0
    0:56.145    14373     N    0    1    0
    0:56.613    14493     N    0    1    0
    0:57.066    14609     N    0    1    0
    0:57.543    14731     N    0    1    0
    0:58.035    14857     N    0    1    0
    0:58.500    14976     N    0    1    0
    0:58.977    15098     N    0    1    0
    0:59.445    15218     N    0    1    0
    0:59.910    15337     N    0    1    0
    1:00.398    15462     N    0    1    0
    1:00.855    15579     N    0    1    0
    1:01.332    15701     N    0    1    0
    1:01.793    15819     N    0    1    0
    1:02.262    15939     N    0    1    0
    1:02.727    16058     N    0    1    0
    1:03.188    16176     N    0    1    0
    1:03.656    16296     N    0    1    0
    1:04.141    16420     N    0    1    0
    1:04.605    16539     N    0    1    0
    1:05.063    16656     N    0    1    0
    1:05.531    16776     N    0    1    0
    1:06.000    16896     N    0    1    0
    1:06.465    17015     N    0    1    0
    1:06.934    17135     N    0    1    0
    1:07.406    17256     N    0    1    0
    1:07.871    17375     N    0    1    0
    1:08.352    17498     N    0    1    0
    1:08.809    17615     N    0    1    0
    1:09.285    17737     N    0    1    0
    1:09.746    17855     N    0    1    0
    1:10.227    17978     N    0    1    0
    1:10.680    18094     N    0    1    0
    1:11.145    18213     N    0    1    0
