      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.527      135     N    0    1    0
    0:01.215      311     N    0    1    0
    0:01.930      494     N    0    1    0
    0:02.645      677     N    0    1    0
    0:03.340      855     N    0    1    0
    0:04.035     1033     N    0    1    0
    0:04.734     1212     N    0    1    0
    0:05.457     1397     N    0    1    0
    0:06.180     1582     N    0    1    0
    0:06.902     1767     N    0    1    0
    0:07.660     1961     N    0    1    0
    0:08.406     2152     N    0    1    0
    0:09.117     2334     N    0    1    0
    0:09.836     2518     N    0    1    0
    0:10.547     2700     N    0    1    0
    0:11.238     2877     N    0    1    0
    0:11.922     3052     N    0    1    0
    0:12.609     3228     N    0    1    0
    0:13.281     3400     N    0    1    0
    0:13.977     3578     N    0    1    0
    0:14.684     3759     N    0    1    0
    0:15.367     3934     N    0    1    0
    0:16.094     4120     N    0    1    0
    0:16.816     4305     N    0    1    0
    0:17.543     4491     N    0    1    0
    0:18.242     4670     N    0    1    0
    0:18.961     4854     N    0    1    0
    0:19.672     5036     N    0    1    0
    0:20.355     5211     N    0    1    0
    0:21.051     5389     N    0    1    0
    0:21.727     5562     N    0    1    0
    0:22.391     5732     N    0    1    0
    0:23.063     5904     N    0    1    0
    0:23.719     6072     N    0    1    0
    0:24.352     6234     N    0    1    0
    0:24.980     6395     N    0    1    0
    0:25.625     6560     N    0    1    0
    0:26.270     6725     N    0    1    0
    0:26.949     6899     N    0    1    0
    0:27.563     7056     N    0    1    0
    0:28.234     7228     N    0    1    0
    0:28.891     7396     N    0    1    0
    0:29.543     7563     N    0    1    0
    0:30.219     7736     N    0    1    0
    0:30.879     7905     N    0    1    0
    0:31.520     8069     N    0    1    0
    0:32.164     8234     N    0    1    0
    0:32.816     8401     N    0    1    0
    0:33.473     8569     N    0    1    0
    0:34.309     8783     N    0    1    0
    0:34.809     8911     N    0    1    0
    0:35.477     9082     N    0    1    0
    0:36.141     9252     N    0    1    0
    0:36.840     9431     N    0    1    0
    0:37.363     9565     N    0    1    0
    0:38.051     9741     N    0    1    0
    0:38.652     9895     N    0    1    0
    0:39.250    10048     N    0    1    0
    0:39.840    10199     N    0    1    0
    0:40.422    10348     N    0    1    0
    0:41.086    10518     N    0    1    0
    0:41.625    10656     N    0    1    0
    0:42.223    10809     N    0    1    0
    0:42.824    10963     N    0    1    0
    0:43.430    11118     N    0    1    0
    0:44.066    11281     N    0    1    0
    0:44.762    11459     N    0    1    0
    0:45.363    11613     N    0    1    0
    0:46.020    11781     N    0    1    0
    0:46.695    11954     N    0    1    0
    0:47.355    12123     N    0    1    0
    0:48.016    12292     N    0    1    0
    0:48.691    12465     N    0    1    0
    0:49.332    12629     N    0    1    0
    0:49.957    12789     N    0    1    0
    0:50.594    12952     N    0    1    0
    0:51.227    13114     N    0    1    0
    0:51.848    13273     N    0    1    0
    0:52.488    13437     N    0    1    0
    0:53.141    13604     N    0    1    0
    0:53.781    13768     N    0    1    0
    0:54.461    13942     N    0    1    0
    0:55.129    14113     N    0    1    0
    0:55.777    14279     N    0    1    0
    0:56.414    14442     N    0    1    0
    0:57.063    14608     N    0    1    0
    0:57.707    14773     N    0    1    0
    0:58.305    14926     N    0    1    0
    0:58.977    15098     N    0    1    0
    0:59.664    15274     N    0    1    0
    1:00.316    15441     N    0    1    0
    1:00.945    15602     N    0    1    0
    1:01.566    15761     N    0    1    0
    1:02.184    15919     N    0    1    0
    1:02.801    16077     N    0    1    0
    1:03.414    16234     N    0    1    0
    1:04.051    16397     N    0    1    0
    1:04.680    16558     N    0    1    0
    1:05.313    16720     N    0    1    0
    1:05.949    16883     N    0    1    0
    1:06.582    17045     N    0    1    0
    1:07.258    17218     N    0    1    0
    1:07.852    17370     N    0    1    0
    1:08.516    17540     N    0    1    0
    1:09.164    17706     N    0    1    0
    1:09.828    17876     N    0    1    0
    1:10.465    18039     N    0    1    0
    1:11.148    18214     N    0    1    0
    1:11.785    18377     N    0    1    0
    1:12.457    18549     N    0    1    0
    1:13.133    18722     N    0    1    0
    1:13.793    18891     N    0    1    0
    1:14.441    19057     N    0    1    0
    1:15.098    19225     N    0    1    0
    1:15.645    19365     N    0    1    0
    1:16.406    19560     N    0    1    0
    1:17.043    19723     N    0    1    0
    1:17.660    19881     N    0    1    0
    1:18.293    20043     N    0    1    0
    1:18.949    20211     N    0    1    0
    1:19.578    20372     N    0    1    0
    1:20.211    20534     N    0    1    0
    1:20.871    20703     N    0    1    0
    1:21.512    20867     N    0    1    0
    1:22.145    21029     N    0    1    0
    1:22.809    21199     N    0    1    0
    1:23.438    21360     N    0    1    0
    1:24.102    21530     N    0    1    0
    1:24.750    21696     N    0    1    0
    1:25.371    21855     N    0    1    0
    1:26.039    22026     N    0    1    0
    1:26.602    22170     N    0    1    0
    1:27.211    22326     N    0    1    0
    1:27.805    22478     N    0    1    0
    1:28.398    22630     N    0    1    0
    1:28.980    22779     N    0    1    0
    1:29.586    22934     N    0    1    0
    1:30.199    23091     N    0    1    0
    1:30.820    23250     N    0    1    0
    1:31.465    23415     N    0    1    0
    1:32.082    23573     N    0    1    0
    1:32.680    23726     N    0    1    0
    1:33.301    23885     N    0    1    0
    1:33.918    24043     N    0    1    0
    1:34.508    24194     N    0    1    0
