      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.609      156     N    0    1    0
    0:01.309      335     N    0    1    0
    0:02.055      526     N    0    1    0
    0:02.766      708     N    0    1    0
    0:03.453      884     N    0    1    0
    0:04.168     1067     N    0    1    0
    0:04.863     1245     N    0    1    0
    0:05.531     1416     N    0    1    0
    0:06.215     1591     N    0    1    0
    0:06.895     1765     N    0    1    0
    0:07.559     1935     N    0    1    0
    0:08.227     2106     N    0    1    0
    0:08.926     2285     N    0    1    0
    0:09.605     2459     N    0    1    0
    0:10.270     2629     N    0    1    0
    0:10.957     2805     N    0    1    0
    0:11.652     2983     N    0    1    0
    0:12.316     3153     N    0    1    0
    0:12.992     3326     N    0    1    0
    0:13.676     3501     N    0    1    0
    0:14.352     3674     N    0    1    0
    0:15.016     3844     N    0    1    0
    0:15.699     4019     N    0    1    0
    0:16.367     4190     N    0    1    0
    0:17.027     4359     N    0    1    0
    0:17.703     4532     N    0    1    0
    0:18.383     4706     N    0    1    0
    0:19.043     4875     N    0    1    0
    0:19.723     5049     N    0    1    0
    0:20.406     5224     N    0    1    0
    0:21.070     5394     N    0    1    0
    0:21.734     5564     N    0    1    0
    0:22.406     5736     N    0    1    0
    0:23.074     5907     N    0    1    0
    0:23.719     6072     N    0    1    0
    0:24.371     6239     N    0    1    0
    0:25.031     6408     N    0    1    0
    0:25.676     6573     N    0    1    0
    0:26.324     6739     N    0    1    0
    0:26.980     6907     N    0    1    0
    0:27.633     7074     N    0    1    0
    0:28.281     7240     N    0    1    0
    0:28.957     7413     N    0    1    0
    0:29.609     7580     N    0    1    0
    0:30.262     7747     N    0    1    0
    0:30.938     7920     N    0    1    0
    0:31.602     8090     N    0    1    0
    0:32.250     8256     N    0    1    0
    0:32.918     8427     N    0    1    0
    0:33.578     8596     N    0    1    0
    0:34.223     8761     N    0    1    0
    0:34.875     8928     N    0    1    0
    0:35.539     9098     N    0    1    0
    0:36.199     9267     N    0    1    0
    0:36.871     9439     N    0    1    0
    0:37.543     9611     N    0    1    0
    0:38.203     9780     N    0    1    0
    0:38.855     9947     N    0    1    0
    0:39.523    10118     N    0    1    0
    0:40.176    10285     N    0    1    0
    0:40.824    10451     N    0    1    0
    0:41.484    10620     N    0    1    0
    0:42.133    10786     N    0    1    0
    0:42.770    10949     N    0    1    0
    0:43.426    11117     N    0    1    0
    0:44.098    11289     N    0    1    0
    0:44.750    11456     N    0    1    0
    0:45.410    11625     N    0    1    0
    0:46.086    11798     N    0    1    0
    0:46.742    11966     N    0    1    0
    0:47.391    12132     N    0    1    0
    0:48.055    12302     N    0    1    0
    0:48.711    12470     N    0    1    0
    0:49.355    12635     N    0    1    0
    0:50.023    12806     N    0    1    0
    0:50.684    12975     N    0    1    0
    0:51.332    13141     N    0    1    0
    0:51.992    13310     N    0    1    0
    0:52.660    13481     N    0    1    0
    0:53.316    13649     N    0    1    0
    0:53.965    13815     N    0    1    0
    0:54.633    13986     N    0    1    0
    0:55.301    14157     N    0    1    0
    0:55.949    14323     N    0    1    0
    0:56.602    14490     N    0    1    0
    0:57.227    14650     N    0    1    0
    0:57.832    14805     N    0    1    0
    0:58.422    14956     N    0    1    0
    0:59.004    15105     N    0    1    0
    0:59.613    15261     N    0    1    0
    1:00.219    15416     N    0    1    0
    1:00.820    15570     N    0    1    0
    1:01.449    15731     N    0    1    0
    1:02.070    15890     N    0    1    0
    1:02.668    16043     N    0    1    0
    1:03.281    16200     N    0    1    0
    1:03.910    16361     N    0    1    0
    1:04.523    16518     N    0    1    0
    1:05.191    16689     N    0    1    0
    1:05.867    16862     N    0    1    0
    1:06.520    17029     N    0    1    0
    1:07.203    17204     N    0    1    0
    1:07.887    17379     N    0    1    0
    1:08.570    17554     N    0    1    0
    1:09.219    17720     N    0    1    0
    1:09.879    17889     N    0    1    0
    1:10.516    18052     N    0    1    0
    1:11.152    18215     N    0    1    0
    1:11.781    18376     N    0    1    0
    1:12.434    18543     N    0    1    0
    1:13.117    18718     N    0    1    0
    1:13.813    18896     N    0    1    0
    1:14.504    19073     N    0    1    0
    1:15.180    19246     N    0    1    0
    1:15.848    19417     N    0    1    0
    1:16.496    19583     N    0    1    0
    1:17.125    19744     N    0    1    0
    1:17.750    19904     N    0    1    0
    1:18.348    20057     N    0    1    0
    1:18.961    20214     N    0    1    0
    1:19.609    20380     N    0    1    0
    1:20.230    20539     N    0    1    0
    1:20.887    20707     N    0    1    0
    1:21.555    20878     N    0    1    0
    1:22.227    21050     N    0    1    0
    1:22.902    21223     N    0    1    0
    1:23.570    21394     N    0    1    0
    1:24.219    21560     N    0    1    0
    1:24.844    21720     N    0    1    0
    1:25.477    21882     N    0    1    0
    1:26.094    22040     N    0    1    0
    1:26.695    22194     N    0    1    0
    1:27.297    22348     N    0    1    0
    1:27.926    22509     N    0    1    0
    1:28.559    22671     N    0    1    0
    1:29.191    22833     N    0    1    0
    1:29.824    22995     N    0    1    0
    1:30.469    23160     N    0    1    0
    1:31.125    23328     N    0    1    0
    1:31.766    23492     N    0    1    0
    1:32.422    23660     N    0    1    0
    1:33.098    23833     N    0    1    0
    1:33.746    23999     N    0    1    0
    1:34.422    24172     N    0    1    0
    1:35.094    24344     N    0    1    0
