      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.000        0     "    0    0    0	## time resolution: 256
    0:00.000        0          0    0    0
    0:00.109       28     N    0    1    0
    0:00.719      184     N    0    1    0
    0:01.336      342     N    0    1    0
    0:01.953      500     N    0    1    0
    0:02.543      651     N    0    1    0
    0:03.125      800     N    0    1    0
    0:03.707      949     N    0    1    0
    0:04.277     1095     N    0    1    0
    0:04.828     1236     N    0    1    0
    0:05.375     1376     N    0    1    0
    0:05.926     1517     N    0    1    0
    0:06.480     1659     N    0    1    0
    0:07.051     1805     N    0    1    0
    0:07.652     1959     N    0    1    0
    0:08.230     2107     N    0    1    0
    0:08.809     2255     N    0    1    0
    0:09.418     2411     N    0    1    0
    0:10.023     2566     N    0    1    0
    0:10.609     2716     N    0    1    0
    0:11.207     2869     N    0    1    0
    0:11.820     3026     N    0    1    0
    0:12.422     3180     N    0    1    0
    0:13.000     3328     N    0    1    0
    0:13.590     3479     N    0    1    0
    0:14.188     3632     N    0    1    0
    0:14.777     3783     N    0    1    0
    0:15.348     3929     N    0    1    0
    0:15.938     4080     N    0    1    0
    0:16.527     4231     N    0    1    0
    0:17.109     4380     N    0    1    0
    0:17.680     4526     N    0    1    0
    0:18.273     4678     N    0    1    0
    0:18.863     4829     N    0    1    0
    0:19.438     4976     N    0    1    0
    0:20.035     5129     N    0    1    0
    0:20.633     5282     N    0    1    0
    0:21.207     5429     N    0    1    0
    0:21.773     5574     N    0    1    0
    0:22.348     5721     N    0    1    0
    0:22.922     5868     N    0    1    0
    0:23.488     6013     N    0    1    0
    0:24.043     6155     N    0    1    0
    0:24.621     6303     N    0    1    0
    0:25.207     6453     N    0    1    0
    0:25.777     6599     N    0    1    0
    0:26.363     6749     N    0    1    0
    0:26.949     6899     N    0    1    0
    0:27.527     7047     N    0    1    0
    0:28.105     7195     N    0    1    0
    0:28.699     7347     N    0    1    0
    0:29.281     7496     N    0    1    0
    0:29.848     7641     N    0    1    0
    0:30.426     7789     N    0    1    0
    0:31.008     7938     N    0    1    0
    0:31.578     8084     N    0    1    0
    0:32.133     8226     N    0    1    0
    0:32.699     8371     N    0    1    0
    0:33.266     8516     N    0    1    0
    0:33.824     8659     N    0    1    0
    0:34.395     8805     N    0    1    0
    0:34.977     8954     N    0    1    0
    0:35.539     9098     N    0    1    0
    0:36.105     9243     N    0    1    0
    0:36.668     9387     N    0    1    0
    0:37.246     9535     N    0    1    0
    0:37.820     9682     N    0    1    0
    0:38.379     9825     N    0    1    0
    0:38.953     9972     N    0    1    0
    0:39.523    10118     N    0    1    0
    0:40.078    10260     N    0    1    0
    0:40.645    10405     N    0    1    0
    0:41.230    10555     N    0    1    0
    0:41.805    10702     N    0    1    0
    0:42.379    10849     N    0    1    0
    0:42.965    10999     N    0    1    0
    0:44.145    11301     "    0    1    0	.5
    0:45.328    11604     N    0    1    0
    0:45.906    11752     N    0    1    0
    0:46.488    11901     N    0    1    0
    0:47.063    12048     N    0    1    0
    0:47.664    12202     N    0    1    0
    0:48.254    12353     N    0    1    0
    0:48.848    12505     N    0    1    0
    0:49.461    12662     N    0    1    0
    0:50.070    12818     N    0    1    0
    0:50.645    12965     N    0    1    0
    0:51.238    13117     N    0    1    0
    0:51.848    13273     N    0    1    0
    0:52.426    13421     N    0    1    0
    0:53.000    13568     N    0    1    0
    0:53.586    13718     N    0    1    0
    0:54.188    13872     N    0    1    0
    0:54.770    14021     N    0    1    0
    0:55.355    14171     N    0    1    0
    0:55.957    14325     N    0    1    0
    0:56.551    14477     N    0    1    0
    0:57.133    14626     N    0    1    0
    0:57.723    14777     N    0    1    0
    0:58.332    14933     N    0    1    0
    0:58.922    15084     N    0    1    0
    0:59.508    15234     N    0    1    0
    1:00.102    15386     N    0    1    0
    1:00.691    15537     N    0    1    0
    1:01.270    15685     N    0    1    0
    1:01.867    15838     N    0    1    0
    1:02.469    15992     N    0    1    0
    1:03.039    16138     N    0    1    0
    1:03.602    16282     N    0    1    0
    1:04.168    16427     N    0    1    0
    1:04.723    16569     N    0    1    0
    1:05.324    16723     N    0    1    0
    1:05.961    16886     N    0    1    0
